Page 4, section 1	52	The method used by Careertestpro is based on a combination of a main personality type and two personality subtypes, that also apply to you. The main personality type and the two subtypes are displayed in a three-letter code. This could for instance be RAE as a three-lettercode, meaning a Realistic main personality type with subtypes Artistic and Enterprising.	
Page 4, section 2	53	The better this three-letter code matches three-letter code for a particular profession, the greater chance that you will find success and happiness within this profession. However, one should also take into account the fact that people themselves influence their professional environment, which means they can also find satisfaction in a profession that appealed less to them initially. It is therefore wise to also review and analyze professional occupations that may not directly match your personal three-letter code but have similarities and personal characteristics in common.	
Page 4, section 3	54	This is why at the end of this report, you will find all possible combinations of your three-letter code to make sure you get a glance at other occupations that might also fit your personality. The composition of your profile is based on a number of factors that have been approached from different perspectives during the questionnaire you filled in.	
Page 4, section 4	55	Through analyzing the activities that appeal to you, your personal behavior, work values and skillset, the personality profile in this report has been created.	
Page 4, section 5	56	On the next pages in this report your scores are displayed. Furthermore, the different personality types will be discussed in detail.	
Page 4, section 6	57	Investigative	
Page 4, section 7	58	Artistic	
Page 4, section 8	59	Conventional	
Page 4, section 9	60	Enterpricing	
Page 4, section 10	61	Social	
Page 4, section 11	62	Investigative	
Page 5, section 1	63	Skills	
Page 5, section 2	64	Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:	
Page 7, section 1	65	Work values	
Page 7, section 2	66	Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:	
Page 9, section 1	67	Activities	
Page 9, section 2	68	Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:	
Page 11, section 1	69	Personal behavior	
Page 11, section 2	70	Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:	
Page 13, section 1	71	Occupations / Professions	
Page 13, section 2	72	Below you will find a description of the six personality types, which are also ranked arranged lowest to highest, based on your personal score. Also, every score comes with a brief description based on how much the discussed personality type applies to you:	
Page 15, section 1	73	Total Score	
Page 15, section 2	74	Based on your scores shown in the graph, your personal three-letter code is:	
Page 15, section 3	75	Main Personality	
Page 15, section 4	76	Sub Personality 1	
Page 15, section 5	77	Sub Personality 2	
Page 16, section 1	78	In the score graph above you can see a pattern. There are several possible conclusions to be drawn based on this pattern graph.	
Page 16, section 2	79	If the graph shows no strong peaks or low points, but is somewhat flatter in shape, it could mean that you may have no strong interests or skills in a particular area in the RIASEC personality type inventory.	
Page 16, section 3	80	If you have a very flat profile this could be due to several causes. A flat profile sometimes occurs if someone answers the questionnaire’s questions too quickly without really wondering where their abilities, skills and interest lie or what things are really important for them in a professional environment.	
Page 16, section 4	81	What also may underlie a flat profile is the fact that young and/or inexperienced people have not yet fully developed their personalities. So if the trend line shows a low score, this may indicate that there is not yet a fully developed view of their own identity. However, this does not have to be the case necessarily.	
Page 16, section 5	82	A flat profile could also indicate that you have a stable personality, showing different skills and interests. This is especially the case if there is a high, flattened line shown in the total score graph.	
Page 16, section 6	83	Should all above not apply to you and your graph shows clear peaks in the trend line, this indicates a clear focus on your interests and skills. It is also possible that you will see several peaks in the graph, this indicates that your interests lie in multiple personality types. Based on your scores shown in the graph, your personal three-letter code is:	
Page 16, section 7	84	Three-letter code is based on the three personality types that are most applicable to you. It could occur that you have just as high a score on 2 of 3, or 3 of 3 letters. When this is the case, the order of the letters in the three-letter code does not matter and therefore it can be concluded that each sequence of the three-letter code applies to you in the same amount.	
Page 16, section 8	85	On the next pages the personality types of your three-letter code are described in more detail.	
Page 17, section 1	86	The enterprising personality type likes activities where they can lead, organize or influence others. Therefore they often possess the necessary skills in these fields.	O
Page 17, section 2	87	Furthermore, the enterprising personality type aspires to achieve organizational, political or economic goals. They are self-confident, outgoing and optimistic.	O
Page 17, section 3	88	Persons who score high on this personality type often possess leadership and commercial skills and are convincing to others. In addition, they perform well in positions in which they can initiate or organize activities.	O
Page 17, section 4	89	They place a high value on status, power, money, and material possessions.	O
Page 17, section 5	90	self-confident assertive persuasive ambitious optimistic	
Page 17, section 6	91	initiate projects sell things organize activities lead a group convince people	
Page 17, section 7	92	make dicisions start your business have power/status be elected to office	
Page 17, section 8	93	The enterprising personality type is generally less skilled in the fields of science, research and other analytical activities.	O
Page 17, section 9	94	They avoid activities which require attention to detail and adherence to a set routine. Enterprising personality occupations can be very different in industry, but traits like 'initiating', 'organizing' and 'commercial' are common in these occupations.	O
Page 17, section 10	95	Examples of typical enterprising personality occupations are:	
Page 17, section 11	96	entrepreneur, general manager, marketer, consultant, freelance photographer, politician, credit analyst, sales manager, stockbroker, tax accountant, buyer and banker/financial planner.	
Page 18, section 1	97	People who score high on the enterprising personality type often find their happiness in professions in which they can use their commercial, political or leadership skills to cooperate with others or to organize activities.	O
Page 18, section 2	98	They are enthusiastic and energetic in initiating and supervising the activities in which they engage. Furthermore, they are assertive and verbally persuasive in bringing others around to their point of view.	O
Page 18, section 3	99	The enterprising personality type is ambitious and likes to be in positions of authority.	O
Page 18, section 4	100	Persuasive	
Page 18, section 5	101	Impulsive	
Page 18, section 6	102	Popular	
Page 18, section 7	103	Confident	
Page 18, section 8	104	Assertive	
Page 18, section 9	105	Adventurous	
Page 18, section 10	106	Extroverted	
Page 18, section 11	107	Spontaneous	
Page 18, section 12	108	Talkative	
Page 18, section 13	109	Energetic	
Page 18, section 14	110	Depending on your personal three-letter code, later on in this report occupations that specifically match your code are explained and written out.	
Page 19, section 1	111	The conventional personality type likes activities where they can work according to set procedures. They are wellorganized, persistent, and practical individuals.	C
Page 19, section 2	112	People who score high on the conventional personality type often possess administrative, organizational and analytical skills. In addition, they are good at working according to procedures, rules and guidelines.	C
Page 19, section 3	113	The conventional personality type is dependable, efficient and conscientious in accomplishing the tasks in which they engage.	C
Page 19, section 4	114	They enjoy the security of belonging to groups and organizations and make good team members.	C
Page 19, section 5	115	methodical numerically inclined conforming practical systematic structured	
Page 19, section 6	116	work well within a system keep accurate records use a database abide by deadline	
Page 19, section 7	117	use data follow defined procedures work with numbers collect and organize	
Page 19, section 8	118	The conventional personality type is generally less skilled in artistic and creative fields and other activities that require a lot of imagination.	C
Page 19, section 9	119	They are most comfortable working in situations and at tasks in which they know what is expected of them.	C
Page 19, section 10	120	Examples of typical enterprising personality occupations are:	
Page 19, section 11	121	accountant, budget analyst, business programmer, court reporter, financial analyst, insurance manager, internal auditor, statistician, medical records technicians, paralegal, safety inspector, travel agent and museum registrar.	
Page 20, section 1	122	People who score high on the conventional personality type often find their happiness in professions in which they can work with numbers, data, information processing and other type of activities in which standardized processes and guidelines have been incorporated.	C
Page 20, section 2	123	They are most comfortable in familiar situations and in the company of persons they know well. They like to work indoors in pleasant surroundings and place value on material comforts and possessions.	C
Page 20, section 3	124	They tend to be conservative and traditional in values and attitudes. The conventional personality type values reliability, stability, security and orderliness, which is why they are frequently found in administrative occupations or positions within law enforcement.	C
Page 20, section 4	125	Well-organized	
Page 20, section 5	126	Accurate	
Page 20, section 6	127	Polite	
Page 20, section 7	128	Ambitious	
Page 20, section 8	129	Persistent	
Page 20, section 9	130	Obedient	
Page 20, section 10	131	Systematic	
Page 20, section 11	132	Conscientious	
Page 20, section 12	133	Efficient	
Page 20, section 13	134	Practical	
Page 20, section 14	135	Depending on your personal three-letter code, later on in this report occupations that specifically match your code are explained and written out.	
Page 21, section 1	136	The social personality type likes activities where they can be helpful to others by serving in facilitative or supervising roles. They often possess interpersonal skills such as patience and well developed expression skills. 	S
Page 21, section 2	137	In addition, they are persuasive and enjoy being at or near the center of the group.	S
Page 21, section 3	138	Social personalities are idealistic, sensitive, and conscientious in their outlook on things like life, morality and religion.	S
Page 21, section 4	139	They have strong social feelings and are open to emotions, thoughts and feelings of others.	S
Page 21, section 5	140	responsible cooperative insightful patient understanding	
Page 21, section 6	141	train/teach others lead a group discussion supervise an activity cooperate with others mediate disputes	
Page 21, section 7	142	do volunteer work work with young people help people with problems work in groups	
Page 21, section 8	143	The social personality type is generally not into technical activities and therefore often does not have technical skills. Very practical and technical activities are thus often avoided.	S
Page 21, section 9	144	They see themselves as having social and educational skills which causes them to get along well with others and fit natural to express their emotions.	S
Page 21, section 10	145	Social personality occupations can be very different in industry, but traits like ‘social’ and ‘friendly’ are common in these occupations.	S
Page 21, section 11	146	Examples of typical enterprising personality occupations are:	
Page 21, section 12	147	psychologist, paralegal, librarian, teacher, social worker, nurse, scout, concierge and driving instructor.	
Page 22, section 1	148	People who score high on the social personality type often find their happiness in professions where helping others, cooperating and/or supervising are common.	S
Page 22, section 2	149	These people can be found in environments where they can take care of, support, help, educate, inform or entertain others.	S
Page 22, section 3	150	The social working environment requires interpersonal and communicative skills and provides room for humanitarian values, understanding of others and patient and tactful approaches.	S
Page 22, section 4	151	Friendly	
Page 22, section 5	152	Idealistic	
Page 22, section 6	153	Patient	
Page 22, section 7	154	Responsible	
Page 22, section 8	155	Forgiving	
Page 22, section 9	156	Cooperative	
Page 22, section 10	157	Kind	
Page 22, section 11	158	Compassionate	
Page 22, section 12	159	Generous	
Page 22, section 13	160	Caring	
Page 22, section 14	161	Depending on your personal three-letter code, later on in this report occupations that specifically match your code are explained and written out.	
Page 23, section 1	162	Occupation List Highest Scored Personality Type	
Page 23, section 2	163	On the next page a list of occupations is shown based on your highest score and the main personality type	
Page 23, section 3	164	These occupations probably appeal to you and in first instance solely based on your highest score on a specific personality type. This means that your two subtypes have not yet been taken into account.	
Page 23, section 4	165	These subtypes in combination with your main personality type, together your personal three-letter code, are discussed further on in this report. This is done for a specific reason. Occupations solely in your highest score category might not fit your subtypes, causing it not to be mentioned in your specific occupation list (based on your personal three-letter code) even though you just might like it.	
Page 23, section 5	166	The occupation list on the next page consist of typical occupations which could belong to your main personality type. You can check it and find out which of the occupations or industries suits you.	
Page 23, section 6	167	After this general occupation list we will zoom-in on specific occupations belonging to your three-letter code.	
Page 24, section 1	168	List of Occupations	
Page 24, section 2	169	Administrative law judge	
Page 24, section 3	170	Advertising and promotions manager	
Page 24, section 4	171	Sales representative	
Page 24, section 5	172	Agent / Business manager (of artists, performers, athletes)	
Page 24, section 6	173	Air traffic controller	
Page 24, section 7	174	Appraiser (real estate)	
Page 24, section 8	175	Aqua-cultural manager	
Page 24, section 9	176	Bartender	
Page 24, section 10	177	Chef / Head Cook	
Page 24, section 11	178	Ship and boat captain	
Page 24, section 12	179	Skin care specialist	
Page 24, section 13	180	Warehouse distribution manager	
Page 24, section 14	181	Technical director / manager	
Page 24, section 15	182	Telemarketer	
Page 24, section 16	183	Logistic manager	
Page 24, section 17	184	Travel agent	
Page 24, section 18	185	Travel guide	
Page 24, section 19	186	Buyer (retail / warehouse)	
Page 24, section 20	187	IT System manager	
Page 24, section 21	188	Construction manager	
Page 24, section 22	189	Copy writer	
Page 24, section 23	190	Criminal investigator / Special agent	
Page 24, section 24	191	Crop and livestock manager	
Page 24, section 25	192	Curator	
Page 24, section 26	193	Customer service representative	
Page 24, section 27	194	Financial manager	
Page 24, section 28	195	Sales manager	
Page 25, section 1	196	Three-Letter Code Occupations	
Page 25, section 2	197	The occupation list on the next page is based on your personal three-letter code that’s reflects the results of the career test you have made on Careertestpro.com. This code will help you to find occupations that match the composition of your personality as detailed as possible.	
Page 25, section 3	198	The database of Careertestpro.com consists of more than 3,000 occupations. All these occupations are classified according to their corresponding three-letter code	
Page 25, section 4	199	On the next page of this report you will find occupations that are aligned with your personal three-letter code, that was extracted from the questionnaire you filled in.	
Page 25, section 5	200	The first three-letter code that you will see on the list of occupations is the one that exactly fitted your personality. Subsequently other occupations are listed who have the same three letters in their code, but in a different order. These occupations are important because it may well be the case that these have similarities with your exact three-letter code and thus might appeal to you.	
Page 25, section 6	201	It’s up to you to get inspiration, ideas and motivation from the occupations list below and to examine the ones that appeal to you the most.	
Page 25, section 7	202	Next to the occupations you will find an educational level that indicates on how much education people need to do the work, how much related experience people need to do the work and how much on-the-job training people need to do the work.	
Page 25, section 8	203	Level	
Page 25, section 9	204	Occupations that need little or no preparation	
Page 25, section 10	205	Occupations that need some preparation	
Page 25, section 11	206	Occupations the need medium preparation	
Page 25, section 12	207	Occupations that need considerable preparation	
Page 25, section 13	208	Occupations Occupations that need extensive preparation	
Page 30, section 1	209	Conclusion	
Page 30, section 2	210	Based on the six different personality types, this report has given you insight into your personality profile. To each personality profile certain occupations and activities fit to a greater or lesser extent. This is why career tests in general are not actually tests that give a specific answer to the question: what should I be?	
Page 30, section 3	211	Instead the career test and the resulting personality profile provide a substantiation why certain occupations suit you better than others. These test results can help you make better decisions with regard to your (future) career. The occupations on the specific occupation list based on your personality profile are examples of stereotypical occupations associated with the different personality types.	
Page 30, section 4	212	However, the reality is that in practice, the boundaries between different personality types and three-letter codes are blurred and many occupations actually fit multiple personality types. For example, a surgeon must be able to communicate with people (social personality type), he/she must have an academic background (investigative personality type), like diversity in his/her work environment and needs to know how to operate medical equipment (realistic personality type). This example show that multiple personality types are present in one occupation.	
Page 30, section 5	213	It is important for you to determine for yourself which of your characteristics, qualities and skills connect to the work areas that you want to be active in. If you are for instance a person who likes to work outside you should not look for work environments in which you work behind a desk all day on a computer. If you are an artistic person then it is advisable to choose an occupation in which personal interpretation, originality and creativity are encouraged and are appreciated.	
Page 30, section 6	214	Furthermore, it can be done in different ways and does not necessarily have to be in an obvious work environment for a creative person like occupations as a writer or actor. Coming up with a new advertising campaign or a new product also requires a lot of creative insight and imagination.	
Page 30, section 7	215	What you should also keep in consideration is the fact that a lot of people do not find all the characteristics, qualities and competencies that they find important in their work environment. For you it is important that you know who you are and know what you like.	
Page 30, section 8	216	Also, you need to figure out where your personal skills, qualities and competencies come into their own. By doing so you can reflect on you work and make the adjustments in your career that you think you should make. This will help you to identify the tasks in your work that fit your personality best and also identify the ones which do not.	
Page 30, section 9	217	Provided that the work environment allows these kind of adjustments, you can create a professional work environment in which your core competences and skills come into their own within your occupational activities.	
Page 31, section 1	218	What’s next?	
Page 31, section 2	219	It is wise to discuss your test results with family, friends and colleagues in order to validate them. By doing so you can find out what they think about what type of person you are and how they look at your talents, skills and competences.	
Page 31, section 3	220	You can translate these findings back, in combination with your own competence assessment, to occupations that appeal to you and in which you think your competences come into their own the most. Keep in mind, as discussed earlier, it often happens that not all of your personality traits are reflected in a specific occupation.	
Page 31, section 4	221	However, you can make a shortlist of occupations that appeal to you and select one of those to start your career in. When you find the occupation or career field that you want to start your career in you should gather more information about the required background, skills and/or educational level.	
Page 31, section 5	222	What does a regular day on the job looks like in this occupation? Or what tasks do they regularly perform? Answering questions like these will give you more insight in that specific occupation. Furthermore, this type of information is easy to find on the internet and will help you in making your career choices.	
Page 31, section 6	223	Travel Agent	
Page 31, section 7	224	Developer	
Page 31, section 8	225	Judje	
